"date_report","reported","revised"
"25-01-2020",NA,1
"26-01-2020",NA,0
"27-01-2020",NA,1
"28-01-2020",NA,1
"29-01-2020",NA,0
"30-01-2020",NA,0
"31-01-2020",NA,1
"01-02-2020",NA,0
"02-02-2020",NA,0
"03-02-2020",NA,0
"04-02-2020",NA,1
"05-02-2020",NA,0
"06-02-2020",NA,2
"07-02-2020",NA,0
"08-02-2020",NA,0
"09-02-2020",NA,0
"10-02-2020",NA,0
"11-02-2020",NA,0
"12-02-2020",NA,0
"13-02-2020",NA,0
"14-02-2020",NA,1
"15-02-2020",NA,0
"16-02-2020",NA,0
"17-02-2020",NA,0
"18-02-2020",NA,0
"19-02-2020",NA,0
"20-02-2020",NA,1
"21-02-2020",NA,0
"22-02-2020",NA,0
"23-02-2020",NA,1
"24-02-2020",NA,1
"25-02-2020",NA,0
"26-02-2020",NA,1
"27-02-2020",NA,2
"28-02-2020",NA,2
"29-02-2020",NA,4
"01-03-2020",NA,4
"02-03-2020",NA,0
"03-03-2020",NA,9
"04-03-2020",NA,1
"05-03-2020",NA,12
"06-03-2020",NA,8
"07-03-2020",NA,6
"08-03-2020",NA,7
"09-03-2020",NA,19
"10-03-2020",NA,9
"11-03-2020",NA,21
"12-03-2020",NA,40
"13-03-2020",NA,42
"14-03-2020",NA,59
"15-03-2020",NA,84
"16-03-2020",NA,100
"17-03-2020",NA,156
"18-03-2020",NA,130
"19-03-2020",NA,146
"20-03-2020",NA,214
"21-03-2020",NA,244
"22-03-2020",NA,140
"23-03-2020",NA,620
"24-03-2020",NA,728
"25-03-2020",NA,589
"26-03-2020",NA,634
"27-03-2020",NA,714
"28-03-2020",NA,898
"29-03-2020",NA,665
"30-03-2020",NA,1127
"31-03-2020",NA,1143
"01-04-2020",NA,1556
"02-04-2020",NA,1605
"03-04-2020",NA,1191
"04-04-2020",NA,1424
"05-04-2020",NA,1528
"06-04-2020",NA,1219
"07-04-2020",NA,1379
"08-04-2020",NA,1319
"09-04-2020",NA,1544
"10-04-2020",NA,1329
"11-04-2020",NA,1212
"12-04-2020",NA,1123
"13-04-2020",NA,1367
"14-04-2020",NA,1472
"15-04-2020",NA,1344
"16-04-2020",NA,1747
"17-04-2020",NA,1883
"18-04-2020",NA,1528
"19-04-2020",NA,1656
"20-04-2020",NA,1814
"21-04-2020",NA,1544
"22-04-2020",NA,1959
"23-04-2020",NA,1862
"24-04-2020",NA,1627
"25-04-2020",NA,1411
"26-04-2020",NA,1587
"27-04-2020",NA,1601
"28-04-2020",NA,1484
"29-04-2020",NA,1703
"30-04-2020",NA,1589
"01-05-2020",NA,1949
"02-05-2020",NA,1594
"03-05-2020",NA,2561
"04-05-2020",NA,1482
"05-05-2020",NA,1274
"06-05-2020",NA,1477
"07-05-2020",NA,1521
"08-05-2020",NA,1438
"09-05-2020",NA,1261
"10-05-2020",NA,1170
"11-05-2020",NA,1185
"12-05-2020",NA,1158
"13-05-2020",NA,1147
"14-05-2020",NA,1208
"15-05-2020",NA,1178
"16-05-2020",NA,1236
"17-05-2020",NA,1122
"18-05-2020",NA,1089
"19-05-2020",NA,1123
"20-05-2020",NA,1080
"21-05-2020",NA,1167
"22-05-2020",NA,1210
"23-05-2020",NA,1204
"24-05-2020",NA,960
"25-05-2020",NA,1025
"26-05-2020",NA,965
"27-05-2020",NA,897
"28-05-2020",NA,993
"29-05-2020",NA,931
"30-05-2020",NA,778
"31-05-2020",NA,805
"01-06-2020",NA,736
"02-06-2020",NA,729
"03-06-2020",NA,705
"04-06-2020",NA,620
"05-06-2020",NA,685
"06-06-2020",NA,519
"07-06-2020",NA,702
"08-06-2020",NA,619
"09-06-2020",NA,458
"10-06-2020",NA,480
"11-06-2020",NA,440
"12-06-2020",NA,433
"13-06-2020",NA,448
"14-06-2020",NA,359
"15-06-2020",NA,376
"16-06-2020",NA,340
"17-06-2020",NA,383
"18-06-2020",NA,379
"19-06-2020",NA,438
"20-06-2020",NA,364
"21-06-2020",NA,295
"22-06-2020",NA,364
"23-06-2020",NA,359
"24-06-2020",NA,316
"25-06-2020",NA,371
"26-06-2020",NA,181
"27-06-2020",NA,245
"28-06-2020",NA,292
"29-06-2020",NA,647
"30-06-2020",NA,278
"01-07-2020",NA,192
"02-07-2020",NA,355
"03-07-2020",NA,326
"04-07-2020",NA,219
"05-07-2020",NA,210
"06-07-2020",NA,425
"07-07-2020",NA,205
"08-07-2020",NA,310
"09-07-2020",NA,325
"10-07-2020",NA,323
"11-07-2020",NA,176
"12-07-2020",NA,206
"13-07-2020",NA,673
"14-07-2020",NA,302
"15-07-2020",NA,343
"16-07-2020",NA,444
"17-07-2020",NA,435
"18-07-2020",NA,370
"19-07-2020",NA,324
"20-07-2020",NA,793
"21-07-2020",NA,562
"22-07-2020",NA,520
"23-07-2020",NA,452
"24-07-2020",NA,555
"25-07-2020",NA,344
"26-07-2020",NA,321
"27-07-2020",NA,717
"28-07-2020",NA,406
"29-07-2020",NA,499
"30-07-2020",NA,341
"31-07-2020",NA,494
"01-08-2020",NA,262
"02-08-2020",NA,239
"03-08-2020",NA,232
"04-08-2020",NA,705
"05-08-2020",NA,388
"06-08-2020",NA,367
"07-08-2020",NA,419
"08-08-2020",NA,256
"09-08-2020",NA,218
"10-08-2020",NA,677
"11-08-2020",NA,351
"12-08-2020",NA,406
"13-08-2020",NA,388
"14-08-2020",NA,404
"15-08-2020",NA,230
"16-08-2020",NA,173
"17-08-2020",NA,732
"18-08-2020",NA,343
"19-08-2020",NA,337
"20-08-2020",NA,400
"21-08-2020",NA,515
"22-08-2020",NA,228
"23-08-2020",NA,257
"24-08-2020",NA,789
"25-08-2020",NA,312
"26-08-2020",NA,484
"27-08-2020",NA,446
"28-08-2020",NA,505
"29-08-2020",NA,286
"30-08-2020",NA,251
"31-08-2020",NA,1042
"01-09-2020",NA,504
"02-09-2020",NA,504
"03-09-2020",NA,589
"04-09-2020",NA,606
"05-09-2020",NA,365
"06-09-2020",NA,371
"07-09-2020",NA,438
"08-09-2020",NA,1455
"09-09-2020",NA,574
"10-09-2020",NA,632
"11-09-2020",NA,725
"12-09-2020",NA,470
"13-09-2020",NA,542
"14-09-2020",NA,1401
"15-09-2020",NA,800
"16-09-2020",NA,954
"17-09-2020",NA,1160
"18-09-2020",NA,1047
"19-09-2020",NA,855
"20-09-2020",NA,828
"21-09-2020",NA,1799
"22-09-2020",NA,1291
"23-09-2020",NA,1106
"24-09-2020",NA,1321
"25-09-2020",NA,1433
"26-09-2020",NA,1263
"27-09-2020",NA,1418
"28-09-2020",NA,2238
"29-09-2020",NA,1650
"30-09-2020",NA,1834
"01-10-2020",NA,1816
"02-10-2020",NA,2118
"03-10-2020",NA,1801
"04-10-2020",NA,1625
"05-10-2020",NA,2878
"06-10-2020",NA,2393
"07-10-2020",NA,1845
"08-10-2020",NA,2472
"09-10-2020",NA,2527
"10-10-2020",NA,2118
"11-10-2020",NA,1628
"12-10-2020",NA,1731
"13-10-2020",NA,3400
"14-10-2020",NA,2533
"15-10-2020",NA,2258
"16-10-2020",NA,2604
