date,reported,revised,mobility
2020-02-15,,0,3.65448717948718
2020-02-16,,0,11.765760869565216
2020-02-17,,0,-19.7601593625498
2020-02-18,,0,-0.1938016528925618
2020-02-19,,0,0.0142176870748297
2020-02-20,,1,2.752244897959184
2020-02-21,,0,0.802591036414566
2020-02-22,,0,7.584535256410256
2020-02-23,,1,12.760833333333332
2020-02-24,,1,2.9163877266387725
2020-02-25,,0,2.8063360881542705
2020-02-26,,1,2.063292011019284
2020-02-27,,2,-6.7112685560054
2020-02-28,,2,0.6233748271092671
2020-02-29,,4,6.917222222222223
2020-03-01,,4,10.952209944751385
2020-03-02,,0,-0.0735253772290809
2020-03-03,,9,0.7193197278911565
2020-03-04,,1,-0.5794715447154472
2020-03-05,,12,1.4972677595628416
2020-03-06,,8,-0.2556927297668036
2020-03-07,,6,4.809888357256778
2020-03-08,,7,10.32801801801802
2020-03-09,,19,2.395327754532776
2020-03-10,,9,-1.1666666666666663
2020-03-11,,21,3.0556927297668035
2020-03-12,,40,7.328052126200275
2020-03-13,,42,1.7710562414266118
2020-03-14,,59,0.948111658456486
2020-03-15,,84,2.585216572504708
2020-03-16,,100,-4.205374149659865
2020-03-17,,156,-11.86726907630522
2020-03-18,,130,-14.927777777777775
2020-03-19,,146,-16.160474308300394
2020-03-20,,214,-22.61660079051384
2020-03-21,,244,-23.487
2020-03-22,,140,-27.55101851851852
2020-03-23,,620,-27.51231884057971
2020-03-24,,728,-32.11449553001277
2020-03-25,,589,-35.18010139416984
2020-03-26,,634,-36.42360050890586
2020-03-27,,714,-35.60426356589148
2020-03-28,,898,-35.85690235690235
2020-03-29,,665,-40.03425925925926
2020-03-30,,1127,-39.17361647361648
2020-03-31,,1143,-36.1832702020202
2020-04-01,,1556,-36.9072601010101
2020-04-02,,1605,-38.4502544529262
2020-04-03,,1191,-38.53301158301158
2020-04-04,,1424,-36.23083333333334
2020-04-05,,1528,-43.817238095238096
2020-04-06,,1219,-35.69967824967825
2020-04-07,,1379,-35.952083333333334
2020-04-08,,1319,-35.62992424242424
2020-04-09,,1544,-32.023218829516544
2020-04-10,,1329,-58.93250950570342
2020-04-11,,1212,-33.12138047138047
2020-04-12,,1123,-51.4443820224719
2020-04-13,,1367,-48.37929292929293
2020-04-14,,1472,-34.86026615969582
2020-04-15,,1344,-34.56043256997456
2020-04-16,,1747,-34.08269720101781
2020-04-17,,1883,-35.15865633074935
2020-04-18,,1528,-30.70858333333333
2020-04-19,,1656,-40.56514285714285
2020-04-20,,1814,-29.737966537966543
2020-04-21,,1544,-32.79656488549619
2020-04-22,,1959,-33.55494296577947
2020-04-23,,1862,-31.05619412515964
2020-04-24,,1627,-30.98743489583333
2020-04-25,,1411,-26.17878787878788
2020-04-26,,1587,-35.399127906976744
2020-04-27,,1601,-28.32653594771242
2020-04-28,,1484,-27.900127713920813
2020-04-29,,1703,-28.079629629629636
2020-04-30,,1589,-28.574840357598983
2020-05-01,,1949,-27.10078431372549
2020-05-02,,1594,-22.36808333333333
2020-05-03,,2561,-27.48362235067437
2020-05-04,,1482,-24.437598425196853
2020-05-05,,1274,-23.46828793774319
2020-05-06,,1477,-21.974160206718345
2020-05-07,,1521,-22.528923476005183
2020-05-08,,1438,-23.12951251646904
2020-05-09,,1261,-17.332244556113903
2020-05-10,,1170,-22.776647286821703
2020-05-11,,1185,-20.6478
2020-05-12,,1158,-20.89928664072633
2020-05-13,,1147,-18.826653696498056
2020-05-14,,1208,-18.30201822916667
2020-05-15,,1178,-19.570487483530965
2020-05-16,,1236,-10.680427350427353
2020-05-17,,1122,-16.707267441860466
2020-05-18,,1089,-42.00811320754717
2020-05-19,,1123,-14.393766404199472
2020-05-20,,1080,-12.794947506561678
2020-05-21,,1167,-13.57359477124183
2020-05-22,,1210,-13.364666666666666
2020-05-23,,1204,-4.590940170940171
2020-05-24,,960,-3.5677514792899405
2020-05-25,,1025,-13.12815860215054
2020-05-26,,965,-12.755533596837944
2020-05-27,,897,-11.177296587926511
2020-05-28,,993,-11.471739130434782
2020-05-29,,931,-11.8422
