"date","rr","gp","p","ts","w","r"
"1","2020-02-15",4,2,10,3,1,0
"2","2020-02-16",13,8,41,4,0,-2
"3","2020-02-17",-12,-15,63,-28,-52,11
"4","2020-02-18",-1,4,6,-1,-1,1
"5","2020-02-19",1,1,9,0,0,0
"6","2020-02-20",6,4,14,-1,1,0
"7","2020-02-21",2,-1,10,-1,-3,1
"8","2020-02-22",8,5,28,6,6,-1
"9","2020-02-23",10,6,36,5,5,-1
"10","2020-02-24",3,2,19,-1,3,0
"11","2020-02-25",2,5,9,0,3,0
"12","2020-02-26",-2,2,1,-2,1,1
"13","2020-02-27",-8,-9,-6,-5,-5,4
"14","2020-02-28",-1,1,-5,1,0,1
"15","2020-02-29",7,7,11,6,7,0
"16","2020-03-01",10,9,23,6,5,-1
"17","2020-03-02",3,3,1,-2,-1,1
"18","2020-03-03",4,6,8,-2,0,0
"19","2020-03-04",5,4,11,0,-1,1
"20","2020-03-05",7,5,18,-1,-2,1
"21","2020-03-06",1,-1,6,-3,-1,1
"22","2020-03-07",6,5,17,3,6,0
"23","2020-03-08",9,7,50,3,4,0
"24","2020-03-09",4,4,31,-3,2,1
"25","2020-03-10",-1,1,-2,-6,1,1
"26","2020-03-11",3,7,12,-3,2,1
"27","2020-03-12",7,27,11,-6,2,1
"28","2020-03-13",-5,35,-16,-17,-6,5
"29","2020-03-14",-11,19,-8,-19,-1,5
"30","2020-03-15",-12,11,28,-22,-5,4
"31","2020-03-16",-12,23,15,-37,-27,10
"32","2020-03-17",-27,13,7,-45,-35,14
"33","2020-03-18",-33,7,14,-48,-40,16
"34","2020-03-19",-36,4,18,-52,-43,17
"35","2020-03-20",-44,-5,-8,-54,-45,20
"36","2020-03-21",-49,-12,11,-49,-32,13
"37","2020-03-22",-51,-21,4,-54,-35,11
"38","2020-03-23",-45,-13,-27,-63,-51,20
"39","2020-03-24",-49,-15,-10,-64,-55,22
"40","2020-03-25",-53,-21,1,-65,-59,23
"41","2020-03-26",-54,-21,-18,-68,-59,25
"42","2020-03-27",-55,-21,-10,-66,-59,26
"43","2020-03-28",-59,-27,-30,-64,-44,17
"44","2020-03-29",-59,-35,-16,-66,-44,14
"45","2020-03-30",-54,-27,-32,-70,-60,23
"46","2020-03-31",-51,-19,-13,-68,-60,23
"47","2020-04-01",-52,-21,-10,-68,-61,24
"48","2020-04-02",-53,-23,-16,-70,-61,25
"49","2020-04-03",-55,-23,-33,-69,-60,27
"50","2020-04-04",-57,-25,-17,-63,-45,17
"51","2020-04-05",-63,-45,-13,-67,-46,14
"52","2020-04-06",-51,-21,2,-68,-60,23
"53","2020-04-07",-52,-18,-1,-68,-61,24
"54","2020-04-08",-51,-17,-3,-67,-61,24
"55","2020-04-09",-44,-3,-15,-68,-62,24
"56","2020-04-10",-70,-43,-24,-77,-81,33
"57","2020-04-11",-54,-15,-22,-63,-47,17
"58","2020-04-12",-74,-62,-4,-67,-51,14
"59","2020-04-13",-55,-29,-25,-74,-69,26
"60","2020-04-14",-50,-16,-11,-68,-60,24
"61","2020-04-15",-50,-19,-14,-68,-60,24
"62","2020-04-16",-49,-18,-6,-68,-60,25
"63","2020-04-17",-53,-22,-22,-67,-59,27
"64","2020-04-18",-54,-24,-3,-57,-40,16
"65","2020-04-19",-60,-43,-13,-64,-42,14
"66","2020-04-20",-46,-19,15,-65,-58,22
"67","2020-04-21",-50,-22,-17,-68,-58,23
"68","2020-04-22",-50,-22,-22,-67,-58,24
"69","2020-04-23",-49,-19,-1,-66,-58,24
"70","2020-04-24",-52,-22,-3,-65,-57,25
"71","2020-04-25",-51,-21,16,-54,-39,14
"72","2020-04-26",-57,-39,-6,-62,-41,13
"73","2020-04-27",-45,-17,14,-64,-56,21
"74","2020-04-28",-46,-16,14,-64,-57,16
"75","2020-04-29",-46,-17,6,-64,-57,22
"76","2020-04-30",-47,-17,-4,-65,-57,23
"77","2020-05-01",-47,-16,10,-61,-55,23
"78","2020-05-02",-49,-18,15,-52,-36,14
"79","2020-05-03",-51,-32,47,-54,-35,11
"80","2020-05-04",-42,-14,5,-64,-54,20
"81","2020-05-05",-42,-10,32,-62,-54,20
"82","2020-05-06",-41,-11,36,-60,-54,20
"83","2020-05-07",-42,-11,32,-62,-54,21
"84","2020-05-08",-45,-11,9,-62,-53,22
"85","2020-05-09",-44,-6,0,-55,-32,13
"86","2020-05-10",-44,-24,20,-55,-30,10
"87","2020-05-11",-41,-14,19,-62,-52,19
"88","2020-05-12",-41,-11,20,-61,-51,20
"89","2020-05-13",-38,-9,46,-58,-51,19
"90","2020-05-14",-38,-10,37,-60,-51,20
"91","2020-05-15",-41,-10,24,-59,-52,21
"92","2020-05-16",-40,-9,62,-47,-30,10
"93","2020-05-17",-41,-23,86,-51,-29,8
"94","2020-05-18",-48,-27,94,-69,-79,24
"95","2020-05-19",-31,0,57,-57,-49,18
"96","2020-05-20",-28,1,70,-54,-49,17
"97","2020-05-21",-30,-2,73,-55,-49,18
"98","2020-05-22",-34,-5,63,-54,-46,18
"99","2020-05-23",-33,-4,85,-42,-21,9
"100","2020-05-24",-32,-14,115,-43,-21,6
"101","2020-05-25",-26,-4,64,-55,-48,16
"102","2020-05-26",-28,-3,80,-54,-46,16
"103","2020-05-27",-26,0,82,-52,-46,16
"104","2020-05-28",-28,-3,64,-54,-45,17
"105","2020-05-29",-32,-5,51,-53,-44,18
"106","2020-05-30",-32,-5,58,-41,-14,9
"107","2020-05-31",-30,-12,69,-43,-13,7
"108","2020-06-01",-23,-2,81,-51,-43,14
"109","2020-06-02",-27,-3,64,-53,-43,16
"110","2020-06-03",-27,-3,68,-52,-43,16
"111","2020-06-04",-25,0,108,-50,-43,15
"112","2020-06-05",-29,-3,101,-50,-42,15
"113","2020-06-06",-29,-5,88,-40,-13,8
"114","2020-06-07",-26,-9,130,-39,-12,5
"115","2020-06-08",-21,-2,100,-51,-42,14
"116","2020-06-09",-24,-2,90,-52,-41,14
"117","2020-06-10",-22,-1,78,-51,-42,15
"118","2020-06-11",-21,0,100,-50,-41,15
"119","2020-06-12",-25,-2,89,-49,-40,14
